Time,Data
4864020000,318170
4869140000,309436
4874260000,288253
4879380000,255466
4884500000,212366
4889620000,160687
4894740000,102589
4899860000,40357
4904980000,-23572
4910100000,-86471
4915220000,-145950
4920340000,-199467
4925460000,-245028
4930580000,-280686
4935700000,-305022
4940820000,-317102
4945940000,-316354
4951060000,-302967
4956180000,-277263
4961300000,-240408
4966420000,-193866
4971540000,-139582
4976660000,-79560
4981780000,-16381
4986900000,47333
4992020000,109285
4997140000,166809
5002260000,217628
5007380000,259634
5012500000,291210
5017620000,311037
5022740000,318354
5027860000,312807
5032980000,294679
5038100000,264688
5043220000,224015
5048340000,174309
5053460000,117580
5058580000,56181
5063700000,-7584
5068820000,-70973
5073940000,-131541
5079060000,-186761
5084180000,-234499
5089300000,-272784
5094420000,-300059
5099540000,-315275
5104660000,-317732
5109780000,-307501
5114900000,-284780
5120020000,-250599
5125140000,-206306
5130260000,-153771
5135380000,-94982
5140500000,-32294
5145620000,31441
5150740000,94133
5155860000,152959
5160980000,205683
5166100000,250046
5171220000,284380
5176340000,307226
5181460000,317731
5186580000,315391
5191700000,300360
5196820000,273240
5201940000,235101
5207060000,187486
5212180000,132280
5217300000,71857
5222420000,8428
5227540000,-55302
5232660000,-116798
5237780000,-173584
5242900000,-223378
5248020000,-264190
5253140000,-294340
5258260000,-312644
5263380000,-318326
5268500000,-311240
5273620000,-291584
5278740000,-260155
5283860000,-218232
5288980000,-167568
5294100000,-110148
5299220000,-48176
5304340000,15521
5309460000,78724
5314580000,138731
5319700000,193209
5324820000,239833
5329940000,276827
5335060000,302644
5340180000,316299
5345300000,317181
5350420000,305283
5355540000,281101
5360660000,245594
5365780000,200183
5370900000,146662
5376020000,87337
5381140000,24427
5386260000,-39493
5391380000,-101761
5396500000,-159968
5401620000,-211691
5406740000,-254930
5411860000,-287877
5416980000,-309225
5422100000,-318114
5427220000,-314194
5432340000,-297652
5437460000,-269050
5442580000,-229609
5447700000,-180943
5452820000,-125027
5457940000,-63947
5463060000,-429
5468180000,63107
5473300000,124163
5478420000,180236
5483540000,229021
5488660000,268569
5493780000,297304
5498900000,314063
5504020000,318170
5509140000,309436
5514260000,288253
5519380000,255466
5524500000,212366
5529620000,160687
5534740000,102589
5539860000,40357
5544980000,-23572
5550100000,-86471
5555220000,-145950
5560340000,-199467
5565460000,-245028
5570580000,-280686
5575700000,-305022
5580820000,-317102
5585940000,-316354
5591060000,-302967
5596180000,-277263
5601300000,-240408
5606420000,-193866
5611540000,-139582
5616660000,-79560
5621780000,-16381
5626900000,47333
5632020000,109285
5637140000,166809
5642260000,217628
5647380000,259634
5652500000,291210
5657620000,311037
5662740000,318354
5667860000,312807
5672980000,294679
5678100000,264688
5683220000,224015
5688340000,174309
5693460000,117580
5698580000,56181
5703700000,-7584
5708820000,-70973
5713940000,-131541
5719060000,-186761
5724180000,-234499
5729300000,-272784
5734420000,-300059
5739540000,-315275
5744660000,-317732
5749780000,-307501
5754900000,-284780
5760020000,-250599
5765140000,-206306
5770260000,-153771
5775380000,-94982
5780500000,-32294
5785620000,31441
5790740000,94133
5795860000,152959
5800980000,205683
5806100000,250046
5811220000,284380
5816340000,307226
5821460000,317731
5826580000,315391
5831700000,300360
5836820000,273240
5841940000,235101
5847060000,187486
5852180000,132280
5857300000,71857
5862420000,8428
5867540000,-55302
5872660000,-116798
5877780000,-173584
5882900000,-223378
5888020000,-264190
5893140000,-294340
5898260000,-312644
5903380000,-318326
5908500000,-311240
5913620000,-291584
5918740000,-260155
5923860000,-218232
5928980000,-167568
5934100000,-110148
5939220000,-48176
5944340000,15521
5949460000,78724
5954580000,138731
5959700000,193209
5964820000,239833
5969940000,276827
5975060000,302644
5980180000,316299
5985300000,317181
5990420000,305283
5995540000,281101
6000660000,245594
6005780000,200183
6010900000,146662
6016020000,87337
6021140000,24427
6026260000,-39493
6031380000,-101761
6036500000,-159968
6041620000,-211691
6046740000,-254930
6051860000,-287877
6056980000,-309225
6062100000,-318114
6067220000,-314194
6072340000,-297652
6077460000,-269050
6082580000,-229609
6087700000,-180943
6092820000,-125027
6097940000,-63947
6103060000,-429
6108180000,63107
6113300000,124163
6118420000,180236
6123540000,229021
6128660000,268569
6133780000,297304
6138900000,314063
6144020000,318170
6149140000,309436
6154260000,288253
6159380000,255466
6164500000,212366
6169620000,160687
6174740000,102589
6179860000,40357
6184980000,-23572
6190100000,-86471
6195220000,-145950
6200340000,-199467
6205460000,-245028
6210580000,-280686
6215700000,-305022
6220820000,-317102
6225940000,-316354
6231060000,-302967
6236180000,-277263
6241300000,-240408
6246420000,-193866
6251540000,-139582
6256660000,-79560
6261780000,-16381
6266900000,47333
6272020000,109285
6277140000,166809
6282260000,217628
6287380000,259634
6292500000,291210
6297620000,311037
6302740000,318354
6307860000,312807
6312980000,294679
6318100000,264688
6323220000,224015
6328340000,174309
6333460000,117580
6338580000,56181
6343700000,-7584
6348820000,-70973
6353940000,-131541
6359060000,-186761
6364180000,-234499
6369300000,-272784
6374420000,-300059
